"locomotora","x_variable","y_variable","n","pendiente","intercepto","r2","r2_ajustado","p_valor","ecuacion","relacion"
"AND240-4253","Velocidad (km/h)","Carbón (kg/km)",16,0.4878,10.96,0.1569,0.0966,"1.29e-01","Carbón (kg/km) = 0.49 · Vel + 11.0
R² = 0.157","Carbón (kg/km) vs Velocidad (km/h)"
"AND240-4253","Velocidad (km/h)","Agua (L/km)",16,-1.7959,355.94,0.0539,-0.0136,"3.87e-01","Agua (L/km) = -1.80 · Vel + 355.9
R² = 0.054","Agua (L/km) vs Velocidad (km/h)"
"AND240-4253","Agua (L/km)","Carbón (kg/km)",16,0.0834,8.99,0.2745,0.2226,"3.73e-02","Carbón (kg/km) = 0.08 · Vel + 9.0
R² = 0.274","Carbón (kg/km) vs Agua (L/km)"
"RN141-2106","Velocidad (km/h)","Carbón (kg/km)",16,-0.1193,18.02,0.0202,-0.0497,"5.99e-01","Carbón (kg/km) = -0.12 · Vel + 18.0
R² = 0.020","Carbón (kg/km) vs Velocidad (km/h)"
"RN141-2106","Velocidad (km/h)","Agua (L/km)",16,-0.5182,157.31,0.0054,-0.0656,"7.86e-01","Agua (L/km) = -0.52 · Vel + 157.3
R² = 0.005","Agua (L/km) vs Velocidad (km/h)"
"RN141-2106","Agua (L/km)","Carbón (kg/km)",16,0.0282,8.86,0.0559,-0.0116,"3.78e-01","Carbón (kg/km) = 0.03 · Vel + 8.9
R² = 0.056","Carbón (kg/km) vs Agua (L/km)"
"MZA 1701","Velocidad (km/h)","Carbón (kg/km)",16,-0.1576,19.45,0.0745,0.0084,"3.06e-01","Carbón (kg/km) = -0.16 · Vel + 19.5
R² = 0.075","Carbón (kg/km) vs Velocidad (km/h)"
"MZA 1701","Velocidad (km/h)","Agua (L/km)",16,-0.6337,178.19,0.0067,-0.0642,"7.62e-01","Agua (L/km) = -0.63 · Vel + 178.2
R² = 0.007","Agua (L/km) vs Velocidad (km/h)"
"MZA 1701","Agua (L/km)","Carbón (kg/km)",16,0.0368,6.84,0.2417,0.1875,"5.31e-02","Carbón (kg/km) = 0.04 · Vel + 6.8
R² = 0.242","Carbón (kg/km) vs Agua (L/km)"
"MZA 1801","Velocidad (km/h)","Carbón (kg/km)",16,0.7746,1.67,0.2176,0.1617,"6.85e-02","Carbón (kg/km) = 0.77 · Vel + 1.7
R² = 0.218","Carbón (kg/km) vs Velocidad (km/h)"
"MZA 1801","Velocidad (km/h)","Agua (L/km)",16,-2.9633,286.17,0.1521,0.0915,"1.35e-01","Agua (L/km) = -2.96 · Vel + 286.2
R² = 0.152","Agua (L/km) vs Velocidad (km/h)"
"MZA 1801","Agua (L/km)","Carbón (kg/km)",16,0.0494,31.57,0.0512,-0.0166,"3.99e-01","Carbón (kg/km) = 0.05 · Vel + 31.6
R² = 0.051","Carbón (kg/km) vs Agua (L/km)"
"AND240-4253","Velocidad (km/h)","Carbón (kg/km)",64,0.2874,10.91,0.0406,0.0252,"1.1e-01","Carbón (kg/km) = 0.29 · Vel + 10.9
R² = 0.041","Carbón (kg/km) vs Velocidad (km/h)"
"AND240-4253","Velocidad (km/h)","Agua (L/km)",64,-1.8478,260.35,0.0467,0.0313,"8.64e-02","Agua (L/km) = -1.85 · Vel + 260.3
R² = 0.047","Agua (L/km) vs Velocidad (km/h)"
"AND240-4253","Agua (L/km)","Carbón (kg/km)",64,0.0561,14.07,0.1132,0.0989,"6.57e-03","Carbón (kg/km) = 0.06 · Vel + 14.1
R² = 0.113","Carbón (kg/km) vs Agua (L/km)"
