"locomotora","nombre_ruta","id_ruta","agua_media_L_km","carbon_media_kg_km","velocidad_media_km_h","longitud_km","coste_agua_km","coste_carbon_km","coste_total_km","coste_agua_trayecto","coste_carbon_trayecto","coste_total_trayecto","pct_agua","pct_carbon"
"MZA 1701","Vallarizasoria",1,136.1,10.16,63.8,152.2586,0.49,2.4384,2.9284,74.61,371.27,445.87,16.7,83.3
"MZA 1701","Eje central andaluces",2,137.8,11.35,36.8,52.7394,0.4961,2.724,3.2201,26.16,143.66,169.83,15.4,84.6
"MZA 1701","CTN test route",3,236.7,22.3,35.5,8.3049,0.8521,5.352,6.2041,7.08,44.45,51.52,13.7,86.3
"MZA 1801","Vallarizasoria",1,109.3,66,63.3,152.2586,0.3935,15.84,16.2335,59.91,2411.78,2471.69,2.4,97.6
"MZA 1801","Eje central andaluces",2,182.9,26.44,37.7,52.7394,0.6584,6.3456,7.004,34.72,334.66,369.39,9.4,90.6
"MZA 1801","CTN test route",3,59,25.75,54.5,8.3049,0.2124,6.18,6.3924,1.76,51.32,53.09,3.3,96.7
"AND240-4253","Vallarizasoria",1,306.8,47.37,57.1,152.2586,1.1045,11.3688,12.4733,168.17,1731,1899.17,8.9,91.1
"AND240-4253","Eje central andaluces",2,256.1,22.9,37.7,52.7394,0.922,5.496,6.418,48.63,289.86,338.48,14.4,85.6
"AND240-4253","CTN test route",3,303,35.9,35.5,8.3049,1.0908,8.616,9.7068,9.06,71.56,80.61,11.2,88.8
"RN141-2106","Vallarizasoria",1,120.7,12.09,58,152.2586,0.4345,2.9016,3.3361,66.16,441.79,507.95,13,87
"RN141-2106","Eje central andaluces",2,126.1,10.3,39.6,52.7394,0.454,2.472,2.926,23.94,130.37,154.32,15.5,84.5
"RN141-2106","CTN test route",3,201.8,24.45,38.6,8.3049,0.7265,5.868,6.5945,6.03,48.73,54.77,11,89
