"locomotora","zona","agua_media","carbon_media","n_muestras","coste_agua_km","coste_carbon_km","coste_total_km","pct_agua","pct_carbon"
"AND240-4253","Ascenso",370.2,61.81,1,1.3327,14.8344,16.1671,8.2,91.8
"AND240-4253","Descenso",205.1,19.93,5,0.7384,4.7832,5.5216,13.4,86.6
"AND240-4253","Mixto",249.5,39.15,1,0.8982,9.396,10.2942,8.7,91.3
"AND240-4253","Ondulado",361.6,29.64,3,1.3018,7.1136,8.4154,15.5,84.5
"MZA 1701","Ascenso",153.2,13.55,1,0.5515,3.252,3.8035,14.5,85.5
"MZA 1701","Descenso",106.8,8.59,5,0.3845,2.0616,2.4461,15.7,84.3
"MZA 1701","Mixto",125,9.23,1,0.45,2.2152,2.6652,16.9,83.1
"MZA 1701","Ondulado",137.4,17.77,3,0.4946,4.2648,4.7594,10.4,89.6
"MZA 1801","Ascenso",136.8,82.58,1,0.4925,19.8192,20.3117,2.4,97.6
"MZA 1801","Descenso",129.9,23.5,5,0.4676,5.64,6.1076,7.7,92.3
"MZA 1801","Mixto",143.9,36.92,1,0.518,8.8608,9.3788,5.5,94.5
"MZA 1801","Ondulado",259.2,33.63,3,0.9331,8.0712,9.0043,10.4,89.6
"RN141-2106","Ascenso",165.5,14.52,1,0.5958,3.4848,4.0806,14.6,85.4
"RN141-2106","Descenso",117.9,6.04,5,0.4244,1.4496,1.874,22.6,77.4
"RN141-2106","Mixto",124.6,10.38,1,0.4486,2.4912,2.9398,15.3,84.7
"RN141-2106","Ondulado",111.3,17.9,3,0.4007,4.296,4.6967,8.5,91.5
